workbook,primary_role,market_use,completion_status,inputs,core_logic,key_limitations
FiveThirtyEight NFL Predictions Game Modeling by David Glidden.xlsx,Probability ensemble and contest scoring,Pregame ML probability only,Completed but stale/brittle,Yahoo pick-em probability; FiveThirtyEight probability; scraped American odds,De-vig Vegas; heuristic blends; Brier-derived contest points,"Not an ATS, totals, or true in-play model; thresholds tuned in-sample."
NFLWorksheet-201127-113441.xlsx,First-scoring-event timing/hazard exercise,Limited in-play auxiliary,Partly completed,Pregame implied team points; scoring-event mix; quarter shares; minute adjustment factors,"Minute hazard × survival, reset each quarter",Does not model final ML/ATS/total; no game-state feed.
QuarterbackpassingyardsSTUDENTS-200909-223735.xlsx,QB passing-yards feature/submodel exercise,Pregame player projection,Template/inferred,"Team attempts, pass/rush mix, YPA, opponent allowed, win probability/game script",1/3 shrinkage; win/loss game-script mixture; volume × efficiency,Calculation sheet is blank; exact final combination is inferred.
ELOprimervideoaccompanyingfile-200904-092938.xlsx,Generic Elo primer,Foundational,Completed teaching example,"Ratings, result, number of sets/frames, K",Logistic expected score and K-factor update,Not NFL-specific beyond transferable Elo mechanics.
TotalPointsSTUDENTS-200904-092938.xlsx,Team points and game total model,Pregame totals/team totals,Mostly completed with defects,"Historical home/away scoring, attack/defense factors, H2H, wind",Multiplicative team scores; 70/30 H2H blend; wind multiplier,"Approximate VLOOKUP, leakage, sparse H2H, exact integer wind lookup."
NFLLongTermSTUDENTS-200904-092938.xlsm,Season/playoff Monte Carlo,Long-horizon outcomes,Executable but defective/obsolete,"Team Elo, schedule, venue, rest, QB, playoff flags",Elo winner draw; conditional positive margin Normal(sd=11.5); playoff simulation,Margin-only fake scores; obsolete schedule; playoff/output bugs.
NFLscoresmarketcalibrationSTUDENTS-200904-092938.xlsx,Offense/defense score calibration with Solver,Pregame team scores/totals,Student template/incomplete,Observed team scores; market implied scores; 32 team attack and defense factors,Multiplicative expected scores; intended SSE minimization; exponential recency weights,Blank target/model columns; no identifiability constraint or time split.
QuarterbackadjustmentSTUDENTS-200904-092938.xlsx,QB value and Elo adjustment,Pregame availability adjustment,Completed example with sign bug,QB box-score components; opponent QB allowed; previous/team QB values,Linear QB value; opponent adjustment; blended prior; 3.3× QB rating delta,Standalone INT contribution is double-negated.
NFLMODELSTUDENTS-200904-092938.xlsm,Integrated adjusted-Elo engine,Pregame ML and expected margin,Executable with serious defects,"Teams, venues, ratings, scores, rest, travel, QB, playoff",Adjusted Elo → ML; Elo/25 → margin; K=20 MOV update,Travel disabled and sign reversed; blank future games update as ties.
Week1students-200904-092938.xlsx,NFL model specification/template,Pregame design scaffold,Blank template,"Teams, ratings, HFA, distance, rest, QB, playoff, margin, total",No executable formulas,Useful as field specification only.
NFLscoresSTUDENTS-200904-092938.xlsx,Historical results/market/weather dataset and spread calibration,Raw data / empirical favorite win curve,Completed data workbook,"Scores, favorite, spread, total, venue, weather",Winner/favorite flags; empirical P(favorite wins | line),Not an ATS model; no time split; ties/pushes weakly handled.
